EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000171,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,EPITAXY ANNEAL,WAFER SURFACE CLEAN,THERMAL OXIDATION
ns_000172,DEPOSIT GATE OXIDE OR DIELECTRIC,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2
ns_000173,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER VIA ETCH,STRIP RESIST
ns_000174,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000175,BACKSIDE THINNING CHECK,BACKSIDE RINSE,BACKSIDE ETCH CLEAN,BACKSIDE METALLIZATION PREP,DEPOSIT BACKSIDE METAL
ns_000176,POST EXPOSE BAKE,PATTERN INSPECTION LEVEL 1,HARD BAKE,OXIDE ETCH,STRIP PHOTORESIST
ns_000177,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,SHIP LOT
ns_000178,DEPOSIT FIELD OXIDE,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT PAD OXIDE,DEPOSIT POLYSILICON,DEPOSIT INTERLAYER DIELECTRIC
ns_000179,CLEAN AFTER POLY ETCH,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN
ns_000180,DRY WAFER,SUBSTRATE CHECK,WAFER SURFACE CLEAN,MEASURE SURFACE PARTICLES,MEASURE INITIAL THICKNESS
ns_000181,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE,POLYSILICON ETCH
ns_000182,WAFER SURFACE CLEAN,THERMAL OXIDATION,DEPOSIT GATE OXIDE OR DIELECTRIC,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST
ns_000183,CMP DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE PLANARITY,DIELECTRIC ETCH VIA,DEPOSIT BARRIER METAL
ns_000184,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE,DEPOSIT INTERLEVEL DIELECTRIC
ns_000185,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE
ns_000186,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST
ns_000187,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,MEASURE METAL THICKNESS,DEPOSIT INTERLEVEL DIELECTRIC
ns_000188,IMPLANT LDD,IMPLANT SOURCE REGION,IMPLANT DRAIN / CATHODE REGION,IMPLANT N-TYPE,IMPLANT P BODY
ns_000189,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000190,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,BREAKDOWN VOLTAGE TEST,THRESHOLD VOLTAGE TEST,SHIP LOT
ns_000191,CMP INTERLAYER DIELECTRIC,MEASURE PLANARITY,DEPOSIT METAL 1,MEASURE METAL THICKNESS,SPIN COAT PHOTORESIST
ns_000192,POLYSILICON ETCH,POLYSILICON ETCH DRY,HARD BAKE,STRIP RESIST LEVEL 2,CLEAN AFTER POLY ETCH
ns_000193,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE
ns_000194,DEPOSIT INTERLAYER DIELECTRIC,CMP DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS
ns_000195,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,POST EXPOSE BAKE
ns_000196,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST,METAL PATTERN INSPECTION,METAL ETCH
ns_000197,DRY WAFER,SUBSTRATE CHECK,SURFACE PREP FOR DEPOSITION,DEPOSIT PAD OXIDE,THERMAL OXIDATION
ns_000198,CURE PASSIVATION,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO,DEVELOP PAD WINDOW
ns_000199,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN
ns_000200,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 5
